Product ID,Product Name,Size,Total Inventory,Price,Expiry
72444,Temazepam,750ML,0,21.99,12-12-20
72836,Budesonide,750ML,0,18.49,31-12-20
21580,Loratadine,750ML,0,12.99,04-12-20
43041,Aceclofenac,750ML,0,13.39,19-01-21
354562,Fenoprofen,750ML,0,17.99,07-03-21
354600,Choline,375ML,294,7.99,08-04-21
355174,Paracetamol,750ML,0,18.39,04-07-20
406198,Lorazepam,750ML,0,8.99,01-12-20
300731,Temazepam,750ML,0,20.99,12-12-20
310510,Budesonide,500ML,0,8.59,31-12-20
37028,Loratadine,750ML,0,13.99,04-12-20
166724,Aceclofenac,10.0Z,0,2.49,01-12-20
47641,Fenoprofen,750ML,0,28.99,12-12-20
66087,Choline,750ML,307,13.49,31-12-20
361933,Paracetamol,750ML,0,5.99,04-12-20
166287,Lorazepam,750ML,31,13.39,19-01-21
70123,Temazepam,750ML,210,28.99,07-03-21
80489,Budesonide,750ML,327,9.99,01-12-20
87963,Loratadine,750ML,288,10.99,12-12-20
241748,Aceclofenac,375ML,1030,6.99,31-12-20
74390,Fenoprofen,187ML,62,1.79,04-12-20
236326,Choline,750ML,116,68.99,19-01-21
70767,Paracetamol,750ML,214,28.99,07-03-21
69573,Lorazepam,12.0Z,137,33.99,01-12-20
79507,Temazepam,750ML,65,32.99,12-12-20
81747,Budesonide,750ML,322,8.79,31-12-20
344994,Loratadine,750ML,3,8.99,04-12-20
62717,Aceclofenac,750ML,9,48.99,19-01-21
48786,Fenoprofen,375ML,0,14.99,07-03-21
31143,Choline,750ML,8,61.99,08-04-21
328627,Paracetamol,750ML,4,49.99,04-07-20
303265,Lorazepam,750ML,60,12.49,01-12-20
323351,Temazepam,750ML,5,71.99,12-12-20
63837,Budesonide,750ML,44,12.99,31-12-20
313326,Loratadine,750ML,0,10.99,04-12-20
329503,Aceclofenac,750ML,0,8.49,01-12-20
122394,Fenoprofen,750ML,0,21.99,12-12-20
347582,Choline,750ML,0,17.99,31-12-20
331921,Paracetamol,750ML,0,19.99,04-12-20
89699,Lorazepam,750ML,325,11.69,19-01-21
71543,Temazepam,750ML,0,35.99,07-03-21
328706,Budesonide,750ML,0,26.99,01-12-20
339963,Loratadine,750ML,0,11.99,12-12-20
322138,Aceclofenac,750ML,13,9.99,31-12-20
337843,Fenoprofen,750ML,0,21.99,04-12-20
47541,Choline,750ML,0,18.99,19-01-21
26060,Paracetamol,12.0Z,125,17.99,07-03-21
328963,Lorazepam,750ML,0,11.99,01-12-20
240570,Temazepam,750ML,0,7.99,12-12-20
33871,Budesonide,750ML,0,10.99,31-12-20
43139,Loratadine,750ML,15,16.49,04-12-20
336593,Aceclofenac,1.5L,0,12.69,19-01-21
333359,Fenoprofen,750ML,0,99.99,07-03-21
70681,Choline,750ML,2,39.99,08-04-21
70791,Paracetamol,1L,118,18.99,04-07-20
76635,Lorazepam,12.0Z,0,13.99,01-12-20
44370,Temazepam,1.5L,5,15.49,12-12-20
322615,Budesonide,750ML,0,10.99,31-12-20
71799,Loratadine,1L,33,4.29,04-12-20
97152,Aceclofenac,21.4Z,0,3.99,01-12-20
237248,Fenoprofen,750ML,53,15.99,12-12-20
301365,Choline,750ML,4,9.99,31-12-20
52116,Paracetamol,750ML,296,6.99,04-12-20
80186,Lorazepam,750ML,0,7.69,19-01-21
333953,Temazepam,750ML,281,11.49,07-03-21
25883,Budesonide,12.0Z,122,33.99,01-12-20
311325,Loratadine,500ML,112,5.49,12-12-20
84746,Aceclofenac,750ML,152,22.99,31-12-20
347655,Fenoprofen,750ML,49,9.49,04-12-20
71899,Choline,750ML,164,16.99,19-01-21
350140,Paracetamol,750ML,14,8.19,07-03-21
90204,Lorazepam,12.0Z,1824,15.99,01-12-20
23796,Temazepam,12.0Z,60,10.99,12-12-20
63862,Budesonide,750ML,13,13.99,31-12-20
318580,Loratadine,750ML,2,53.99,04-12-20
43663,Aceclofenac,750ML,0,12.99,19-01-21
68827,Fenoprofen,16.0Z,0,9.99,07-03-21
337955,Choline,750ML,0,14.69,08-04-21
70463,Paracetamol,750ML,0,8.99,04-07-20
44902,Lorazepam,750ML,0,12.49,01-12-20
82013,Temazepam,750ML,84,17.49,12-12-20
324405,Budesonide,750ML,0,10.99,31-12-20
23841,Loratadine,1.75L,157,20.99,04-12-20
13424,Aceclofenac,12.0Z,255,11.99,01-12-20
10434,Fenoprofen,12.0Z,800,10.99,12-12-20
16063,Choline,750ML,38,20.99,31-12-20
7242,Paracetamol,12.0Z,0,21.99,04-12-20
47395,Lorazepam,375ML,4,7.69,19-01-21
427054,Temazepam,750ML,32,11.49,07-03-21
303042,Budesonide,750ML,48,12.99,01-12-20
44493,Loratadine,750ML,155,65.99,12-12-20
63219,Aceclofenac,750ML,0,8.79,31-12-20
80838,Fenoprofen,750ML,4,33.99,04-12-20
43497,Choline,750ML,0,11.39,19-01-21
239464,Paracetamol,750ML,33,149.99,07-03-21
46127,Lorazepam,750ML,0,13.69,01-12-20
11837,Temazepam,750ML,0,10.99,12-12-20
340302,Budesonide,750ML,12,16.99,31-12-20
335762,Loratadine,750ML,0,46.99,04-12-20
47791,Aceclofenac,50ML,793,8.79,19-01-21
29416,Fenoprofen,1L,0,12.99,07-03-21
40518,Choline,750ML,0,15.99,08-04-21
349291,Paracetamol,300ML,44,10.49,04-07-20
347056,Lorazepam,750ML,2,32.99,01-12-20
326821,Temazepam,750ML,0,27.99,12-12-20
307355,Budesonide,750ML,5,9.99,31-12-20
41335,Loratadine,750ML,36,16.99,04-12-20
336585,Aceclofenac,750ML,0,13.49,01-12-20
321533,Fenoprofen,750ML,6,23.99,12-12-20
80643,Choline,750ML,0,18.99,31-12-20
42604,Paracetamol,750ML,0,25.99,04-12-20
313115,Lorazepam,750ML,0,21.99,19-01-21
67768,Temazepam,750ML,0,11.99,07-03-21
302693,Budesonide,750ML,0,8.59,01-12-20
309207,Loratadine,750ML,45,15.99,12-12-20
74950,Aceclofenac,375ML,0,6.99,31-12-20
433795,Fenoprofen,750ML,0,10.99,04-12-20
73102,Choline,750ML,0,54.99,19-01-21
24733,Paracetamol,12.0Z,0,12.99,07-03-21
63724,Lorazepam,12.0Z,0,11.99,01-12-20
322186,Temazepam,750ML,0,13.49,12-12-20
308379,Budesonide,750ML,0,11.99,31-12-20
405159,Loratadine,750ML,0,14.69,04-12-20
54003,Aceclofenac,750ML,140,12.99,19-01-21
80888,Fenoprofen,1.5L,16,12.99,07-03-21
324515,Choline,750ML,0,12.39,08-04-21
8150,Paracetamol,12.0Z,0,12.99,04-07-20
322022,Lorazepam,750ML,0,15.49,01-12-20
418862,Temazepam,750ML,0,9.99,12-12-20
61049,Budesonide,750ML,0,17.99,31-12-20
13153,Loratadine,750ML,40,12.49,04-12-20
2674,Aceclofenac,12.0Z,-24,19.99,01-12-20
434825,Fenoprofen,1.5L,0,11.99,12-12-20
301309,Choline,750ML,0,8.99,31-12-20
310417,Paracetamol,750ML,0,24.99,04-12-20
326608,Lorazepam,1.5L,0,9.39,19-01-21
341972,Temazepam,750ML,18,17.99,07-03-21
120820,Budesonide,750ML,19,17.99,01-12-20
27448,Loratadine,750ML,140,20.99,12-12-20
45081,Aceclofenac,750ML,0,85.99,31-12-20
82163,Fenoprofen,750ML,298,15.49,04-12-20
26925,Choline,16.9Z,0,3.99,19-01-21
310717,Paracetamol,750ML,0,38.99,07-03-21
29876,Lorazepam,12.0Z,0,21.99,01-12-20
328313,Temazepam,750ML,0,35.99,12-12-20
51171,Budesonide,11.2Z,84,13.99,31-12-20
84576,Loratadine,750ML,0,10.99,04-12-20
86112,Aceclofenac,750ML,0,16.99,19-01-21
25173,Fenoprofen,12.0Z,0,12.99,07-03-21
336476,Choline,750ML,0,28.99,08-04-21
236976,Paracetamol,750ML,0,45.99,04-07-20
84012,Lorazepam,750ML,56,17.99,01-12-20
344470,Temazepam,750ML,4,44.99,12-12-20
18112,Budesonide,500ML,10,57.99,31-12-20
69919,Loratadine,16.0Z,0,17.99,04-12-20
48174,Aceclofenac,750ML,0,17.99,01-12-20
317431,Fenoprofen,750ML,32,9.49,12-12-20
51008,Choline,12.0Z,30,9.99,31-12-20
80674,Paracetamol,750ML,49,28.99,04-12-20
313493,Lorazepam,750ML,0,17.99,19-01-21
87320,Temazepam,750ML,17,43.99,07-03-21
327180,Budesonide,750ML,12,33.99,01-12-20
25944,Loratadine,11.2Z,72,10.99,12-12-20
82504,Aceclofenac,5L,68,15.39,31-12-20
335273,Fenoprofen,750ML,4,42.99,04-12-20
46633,Choline,750ML,26,13.99,19-01-21
333374,Paracetamol,750ML,0,18.99,07-03-21
326502,Lorazepam,750ML,33,12.49,01-12-20
29980,Temazepam,750ML,1144,8.49,12-12-20
69418,Budesonide,11.2Z,894,10.49,31-12-20
83829,Loratadine,3L,194,24.99,04-12-20
43308,Aceclofenac,300ML,25,11.49,19-01-21
23135,Fenoprofen,12.0Z,276,17.99,07-03-21
83935,Choline,187ML,577,1.79,08-04-21
50660,Paracetamol,750ML,452,37.99,04-07-20
27502,Lorazepam,750ML,867,35.99,01-12-20
47293,Temazepam,750ML,176,79.99,12-12-20
301258,Budesonide,750ML,0,13.49,31-12-20
50734,Loratadine,12.0Z,540,19.99,04-12-20
40482,Aceclofenac,750ML,15,28.99,01-12-20
127922,Fenoprofen,750ML,0,10.49,12-12-20
356018,Choline,750ML,19,11.99,31-12-20
84622,Paracetamol,750ML,0,11.99,04-12-20
30890,Lorazepam,23.5Z,36,2.99,19-01-21
55719,Temazepam,750ML,0,18.39,07-03-21
335143,Budesonide,750ML,0,11.49,01-12-20
74207,Loratadine,1L,0,19.99,12-12-20
75513,Aceclofenac,750ML,0,26.99,31-12-20
318030,Fenoprofen,750ML,0,18.99,04-12-20
69939,Choline,12.0Z,6,9.99,19-01-21
91049,Paracetamol,12.0Z,4,21.99,07-03-21
329424,Lorazepam,750ML,0,57.99,01-12-20
333745,Temazepam,200ML,1,10.99,12-12-20
48473,Budesonide,750ML,0,27.99,31-12-20
84748,Loratadine,750ML,0,10.79,04-12-20
308129,Aceclofenac,750ML,0,30.99,19-01-21
69917,Fenoprofen,16.0Z,0,17.99,07-03-21
331334,Choline,750ML,0,66.99,08-04-21
76831,Paracetamol,750ML,12,25.99,04-07-20
339871,Lorazepam,750ML,0,7.99,01-12-20
323817,Temazepam,750ML,0,19.39,12-12-20
438332,Budesonide,750ML,0,18.99,31-12-20
328998,Loratadine,750ML,0,15.69,04-12-20
69911,Aceclofenac,16.0Z,0,15.99,01-12-20
307417,Fenoprofen,750ML,0,19.99,12-12-20
323877,Choline,750ML,0,10.99,31-12-20
68128,Paracetamol,750ML,344,18.99,04-12-20
329855,Lorazepam,750ML,0,32.99,19-01-21
241728,Temazepam,750ML,132,57.99,07-03-21
144770,Budesonide,750ML,11,10.49,01-12-20
30538,Loratadine,750ML,250,14.39,12-12-20
355763,Aceclofenac,750ML,0,17.99,31-12-20
93505,Fenoprofen,12.0Z,1991,9.99,04-12-20
80012,Choline,1.5L,161,14.49,19-01-21
84050,Paracetamol,750ML,274,5.99,07-03-21
13080,Lorazepam,12.0Z,916,17.99,01-12-20
348346,Temazepam,750ML,273,10.99,12-12-20
32085,Budesonide,750ML,627,25.99,31-12-20
345511,Loratadine,750ML,135,14.99,04-12-20
34754,Aceclofenac,750ML,34,11.99,19-01-21
322379,Fenoprofen,750ML,0,33.99,07-03-21
28673,Choline,1L,392,37.99,08-04-21
10272,Paracetamol,750ML,13,19.99,04-07-20
42877,Lorazepam,750ML,0,6.99,01-12-20
80526,Temazepam,750ML,0,10.39,12-12-20
39098,Budesonide,1.5L,0,11.99,31-12-20
325950,Loratadine,750ML,16,11.49,04-12-20
11390,Aceclofenac,750ML,0,29.99,01-12-20
350776,Fenoprofen,1.75L,0,19.99,12-12-20
341320,Choline,750ML,0,12.69,31-12-20
317856,Paracetamol,750ML,0,484.99,04-12-20
342193,Lorazepam,750ML,0,14.99,19-01-21
80889,Temazepam,750ML,0,14.99,07-03-21
62672,Budesonide,12.0Z,0,14.99,01-12-20
190454,Loratadine,750ML,0,31.99,12-12-20
48123,Aceclofenac,750ML,0,16.99,31-12-20
51177,Fenoprofen,12.0Z,24,9.99,04-12-20
25145,Choline,12.0Z,0,11.99,19-01-21
48708,Paracetamol,750ML,7,54.99,07-03-21
331564,Lorazepam,1.5L,0,13.69,01-12-20
71706,Temazepam,750ML,6,13.69,12-12-20
45250,Budesonide,200ML,0,3.99,31-12-20
350574,Loratadine,750ML,0,22.99,04-12-20
21091,Aceclofenac,750ML,0,9.79,19-01-21
97969,Fenoprofen,12.0Z,0,12.99,07-03-21
23248,Choline,750ML,0,7.79,08-04-21
46264,Paracetamol,750ML,0,7.99,04-07-20
41108,Lorazepam,750ML,0,18.99,01-12-20
409391,Temazepam,750ML,0,23.99,12-12-20
44559,Budesonide,750ML,0,18.99,31-12-20
48637,Loratadine,750ML,0,18.49,04-12-20
40949,Aceclofenac,750ML,0,17.49,01-12-20
44727,Fenoprofen,750ML,0,22.99,12-12-20
166283,Choline,750ML,19,75.99,31-12-20
311073,Paracetamol,750ML,0,12.99,04-12-20
4588,Lorazepam,12.0Z,0,11.99,19-01-21
93533,Temazepam,11.2Z,0,34.99,07-03-21
309049,Budesonide,750ML,0,26.99,01-12-20
79967,Loratadine,750ML,26,56.99,12-12-20
42914,Aceclofenac,180ML,0,11.99,31-12-20
10844,Fenoprofen,750ML,4,119.99,04-12-20
326317,Choline,750ML,0,54.99,19-01-21
42165,Paracetamol,750ML,319,12.49,07-03-21
402141,Lorazepam,750ML,31,12.99,01-12-20
27120,Temazepam,1.75L,172,21.99,12-12-20
346097,Budesonide,750ML,269,14.49,31-12-20
26034,Loratadine,750ML,439,10.99,04-12-20
296888,Aceclofenac,750ML,63,80.99,19-01-21
341033,Fenoprofen,750ML,0,13.99,07-03-21
377040,Choline,750ML,0,41.99,08-04-21
708978,Paracetamol,750ML,342,59.99,04-07-20
41599,Lorazepam,750ML,10,31.99,01-12-20
50458,Temazepam,750ML,150,38.99,12-12-20
42220,Budesonide,750ML,865,16.99,31-12-20
47870,Loratadine,750ML,0,12.49,04-12-20
108634,Aceclofenac,750ML,40,9.99,01-12-20
84174,Fenoprofen,187ML,597,1.89,12-12-20
414050,Choline,750ML,0,6.99,31-12-20
85634,Paracetamol,750ML,108,15.39,04-12-20
69920,Lorazepam,16.0Z,0,17.99,19-01-21
337009,Temazepam,750ML,0,12.99,07-03-21
393886,Budesonide,750ML,37,10.99,01-12-20
50655,Loratadine,12.0Z,360,10.99,12-12-20
357682,Aceclofenac,50ML,0,16.74,31-12-20
331126,Fenoprofen,750ML,0,12.49,04-12-20
327117,Choline,750ML,0,12.99,19-01-21
42577,Paracetamol,1.5L,5,15.69,07-03-21
47781,Lorazepam,750ML,1,31.99,01-12-20
336396,Temazepam,750ML,4,106.99,12-12-20
42691,Budesonide,750ML,0,9.79,31-12-20
69029,Loratadine,16.0Z,-4,11.99,04-12-20
58661,Aceclofenac,750ML,2,11.49,19-01-21
89473,Fenoprofen,187ML,0,20.99,07-03-21
43535,Choline,750ML,0,5.99,08-04-21
20389,Paracetamol,750ML,0,183.99,04-07-20
376930,Lorazepam,750ML,91,11.39,01-12-20
317465,Temazepam,750ML,0,11.99,12-12-20
236710,Budesonide,750ML,0,165.99,31-12-20
344309,Loratadine,1.75L,1,27.99,04-12-20
296871,Aceclofenac,750ML,0,20.99,01-12-20
72026,Fenoprofen,1.75L,0,24.99,12-12-20
77501,Choline,750ML,0,61.99,31-12-20
53198,Paracetamol,1.5L,0,14.49,04-12-20
46342,Lorazepam,750ML,2,19.99,19-01-21
20003,Temazepam,750ML,0,10.99,07-03-21
29203,Budesonide,50ML,212,1.39,01-12-20
314539,Loratadine,750ML,16,15.99,12-12-20
84789,Aceclofenac,750ML,420,10.99,31-12-20
306072,Fenoprofen,750ML,32,6.99,04-12-20
43299,Choline,750ML,0,10.99,19-01-21
90360,Paracetamol,12.0Z,0,13.99,07-03-21
50554,Lorazepam,22.0Z,15,14.99,01-12-20
80157,Temazepam,1.5L,4,16.99,12-12-20
43336,Budesonide,750ML,0,10.99,31-12-20
115096,Loratadine,750ML,0,10.49,04-12-20
76623,Aceclofenac,750ML,0,10.49,19-01-21
119539,Fenoprofen,750ML,0,17.99,07-03-21
65102,Choline,750ML,165,10.99,08-04-21
40118,Paracetamol,1L,238,14.99,04-07-20
18449,Lorazepam,750ML,203,15.99,01-12-20
47147,Temazepam,750ML,9,8.39,12-12-20
323186,Budesonide,750ML,0,14.49,31-12-20
81949,Loratadine,5L,216,20.99,04-12-20
64750,Aceclofenac,750ML,86,8.79,01-12-20
347604,Fenoprofen,750ML,1,36.99,12-12-20
430498,Choline,750ML,86,10.49,31-12-20
80793,Paracetamol,750ML,0,9.99,04-12-20
113824,Lorazepam,1L,0,9.99,19-01-21
350709,Temazepam,750ML,112,35.99,07-03-21
42366,Budesonide,750ML,45,9.99,01-12-20
10151,Loratadine,12.0Z,18,9.99,12-12-20
13252,Aceclofenac,16.0Z,691,14.99,31-12-20
65706,Fenoprofen,750ML,0,12.69,04-12-20
80837,Choline,750ML,272,18.99,19-01-21
42753,Paracetamol,750ML,0,40.99,07-03-21
44900,Lorazepam,750ML,97,16.99,01-12-20
73556,Temazepam,1.75L,77,9.99,12-12-20
13368,Budesonide,750ML,67,25.99,31-12-20
192767,Loratadine,750ML,180,19.99,04-12-20
40978,Aceclofenac,750ML,469,74.99,19-01-21
48743,Fenoprofen,750ML,0,12.49,07-03-21
25747,Choline,1.75L,37,26.99,08-04-21
66125,Paracetamol,1.5L,516,18.99,04-07-20
43917,Lorazepam,750ML,37,37.99,01-12-20
338183,Temazepam,750ML,0,22.99,12-12-20
239518,Budesonide,750ML,111,49.99,31-12-20
92991,Loratadine,12.0Z,102,9.99,04-12-20
98752,Aceclofenac,12.0Z,0,9.99,01-12-20
70546,Fenoprofen,750ML,16,13.99,12-12-20
72088,Choline,750ML,3,19.99,31-12-20
81051,Paracetamol,750ML,0,20.99,04-12-20
69864,Lorazepam,12.0Z,144,15.99,19-01-21
241642,Temazepam,1L,234,14.99,07-03-21
232996,Budesonide,750ML,187,17.49,01-12-20
380466,Loratadine,750ML,0,35.99,12-12-20
27626,Aceclofenac,1.75L,0,76.99,31-12-20
70987,Fenoprofen,750ML,0,231.99,04-12-20
314646,Choline,750ML,0,16.49,19-01-21
72354,Paracetamol,750ML,0,10.99,07-03-21
74918,Lorazepam,750ML,0,19.99,01-12-20
90590,Temazepam,12.0Z,176,27.99,12-12-20
383252,Budesonide,750ML,0,5.99,31-12-20
45913,Loratadine,750ML,0,13.49,04-12-20
82403,Aceclofenac,750ML,61,8.99,19-01-21
303562,Fenoprofen,750ML,0,26.99,07-03-21
188522,Choline,750ML,11,18.99,08-04-21
48650,Paracetamol,1L,7,33.99,04-07-20
11454,Lorazepam,750ML,19,41.99,01-12-20
26967,Temazepam,11.2Z,0,13.99,12-12-20
342216,Budesonide,750ML,4,20.99,31-12-20
97802,Loratadine,12.0Z,133,9.99,04-12-20
75997,Aceclofenac,750ML,0,44.99,01-12-20
239786,Fenoprofen,750ML,230,15.99,12-12-20
18139,Choline,750ML,263,14.49,31-12-20
313550,Paracetamol,750ML,7,18.99,04-12-20
29394,Lorazepam,1L,18,16.99,19-01-21
53929,Temazepam,1.75L,4042,33.99,07-03-21
99155,Budesonide,12.0Z,172,11.99,01-12-20
13960,Loratadine,750ML,236,12.49,12-12-20
99597,Aceclofenac,25.4Z,8,8.99,31-12-20
378380,Fenoprofen,750ML,0,25.99,04-12-20
105031,Choline,750ML,0,15.99,19-01-21
80471,Paracetamol,750ML,7,14.99,07-03-21
313543,Lorazepam,720ML,0,44.99,01-12-20
241252,Temazepam,4.0Z,0,10.99,12-12-20
30350,Budesonide,750ML,259,11.99,31-12-20
64813,Loratadine,12.0Z,0,15.99,04-12-20
334334,Aceclofenac,750ML,0,10.99,19-01-21
361690,Fenoprofen,750ML,2,8.49,07-03-21
337099,Choline,750ML,0,14.69,08-04-21
236436,Paracetamol,750ML,92,73.99,04-07-20
18295,Lorazepam,750ML,7,9.49,01-12-20
350534,Temazepam,1.75L,3,37.99,12-12-20
70088,Budesonide,1L,214,33.99,31-12-20
63154,Loratadine,12.0Z,0,13.99,04-12-20
30822,Aceclofenac,12.0Z,18,11.99,01-12-20
97292,Fenoprofen,12.0Z,40,12.99,12-12-20
429945,Choline,750ML,0,34.99,31-12-20
346355,Paracetamol,750ML,7,26.99,04-12-20
325898,Lorazepam,750ML,0,16.49,19-01-21
96180,Temazepam,11.2Z,159,18.99,07-03-21
166722,Budesonide,17.0Z,173,13.99,01-12-20
87190,Loratadine,750ML,277,15.49,12-12-20
361950,Aceclofenac,750ML,0,5.99,31-12-20
237264,Fenoprofen,750ML,202,13.99,04-12-20
26565,Choline,750ML,1656,22.99,19-01-21
326597,Paracetamol,750ML,0,16.69,07-03-21
10431,Lorazepam,12.0Z,446,12.99,01-12-20
81057,Temazepam,5L,68,15.39,12-12-20
72054,Budesonide,1.75L,104,23.99,31-12-20
316262,Loratadine,750ML,248,14.49,04-12-20
332220,Aceclofenac,750ML,0,17.99,19-01-21
432288,Fenoprofen,750ML,101,10.99,07-03-21
304421,Choline,750ML,0,57.99,08-04-21
90611,Paracetamol,12.0Z,1,25.99,04-07-20
327639,Lorazepam,750ML,18,14.99,01-12-20
71897,Temazepam,750ML,12,17.99,12-12-20
335162,Budesonide,750ML,0,4.39,31-12-20
421758,Loratadine,750ML,51,15.49,04-12-20
339698,Aceclofenac,750ML,0,32.99,01-12-20
240996,Fenoprofen,750ML,0,16.99,12-12-20
313099,Choline,750ML,0,6.99,31-12-20
96512,Paracetamol,12.0Z,0,20.99,04-12-20
312993,Lorazepam,750ML,0,15.49,19-01-21
319618,Temazepam,1.5L,0,14.99,07-03-21
314415,Budesonide,750ML,0,22.99,01-12-20
70348,Loratadine,750ML,0,19.99,12-12-20
42769,Aceclofenac,750ML,0,10.49,31-12-20
310520,Fenoprofen,250ML,0,9.79,04-12-20
427685,Choline,1L,0,10.49,19-01-21
399361,Paracetamol,750ML,0,15.49,07-03-21
44857,Lorazepam,375ML,0,7.99,01-12-20
306563,Temazepam,750ML,0,16.99,12-12-20
240514,Budesonide,750ML,16,87.99,31-12-20
306472,Loratadine,750ML,0,10.49,04-12-20
236572,Aceclofenac,750ML,0,11.39,19-01-21
335782,Fenoprofen,750ML,0,10.99,07-03-21
41509,Choline,750ML,0,84.99,08-04-21
78691,Paracetamol,750ML,117,45.99,04-07-20
313949,Lorazepam,187ML,0,2.59,01-12-20
338476,Temazepam,750ML,0,17.99,12-12-20
315535,Budesonide,750ML,0,10.49,31-12-20
303505,Loratadine,750ML,114,31.99,04-12-20
26448,Aceclofenac,12.0Z,0,11.99,01-12-20
336363,Fenoprofen,6L,0,449.99,12-12-20
29892,Choline,12.0Z,48,20.99,31-12-20
79183,Paracetamol,1.75L,0,13.49,04-12-20
34398,Lorazepam,500ML,0,7.69,19-01-21
346386,Temazepam,750ML,7,26.99,07-03-21
307479,Budesonide,750ML,20,14.99,01-12-20
82479,Loratadine,750ML,5,15.99,12-12-20
241422,Aceclofenac,750ML,0,58.99,31-12-20
347630,Fenoprofen,750ML,0,16.49,04-12-20
341664,Choline,750ML,0,24.99,19-01-21
368440,Paracetamol,750ML,0,8.99,07-03-21
341547,Lorazepam,750ML,0,14.99,01-12-20
337389,Temazepam,375ML,0,21.99,12-12-20
63770,Budesonide,750ML,0,38.99,31-12-20
11457,Loratadine,750ML,7,25.99,04-12-20
44536,Aceclofenac,750ML,0,14.49,19-01-21
195685,Fenoprofen,750ML,0,11.99,07-03-21
48010,Choline,750ML,0,12.99,08-04-21
310311,Paracetamol,750ML,0,11.39,04-07-20
57720,Lorazepam,1L,289,36.99,01-12-20
334329,Temazepam,750ML,0,40.99,12-12-20
323859,Budesonide,750ML,0,47.99,31-12-20
23533,Loratadine,21.4Z,0,20.99,04-12-20
85383,Aceclofenac,1.5L,185,9.49,01-12-20
345483,Fenoprofen,750ML,0,11.49,12-12-20
349125,Choline,750ML,25,57.99,31-12-20
305233,Paracetamol,750ML,0,37.99,04-12-20
20117,Lorazepam,750ML,0,75.99,19-01-21
302581,Temazepam,1.5L,0,9.99,07-03-21
241122,Budesonide,750ML,144,27.99,01-12-20
239610,Loratadine,1L,21,48.99,12-12-20
312785,Aceclofenac,750ML,0,22.99,31-12-20
36692,Fenoprofen,1L,37,89.99,04-12-20
45307,Choline,750ML,0,179.99,19-01-21
83081,Paracetamol,750ML,0,13.99,07-03-21
20990,Lorazepam,750ML,280,15.99,01-12-20
48382,Temazepam,750ML,0,38.99,12-12-20
359874,Budesonide,750ML,0,68.99,31-12-20
182885,Loratadine,750ML,0,7.99,04-12-20
324462,Aceclofenac,750ML,0,15.99,19-01-21
45020,Fenoprofen,1L,40,13.99,07-03-21
437255,Choline,750ML,45,28.99,08-04-21
91693,Paracetamol,12.0Z,108,10.99,04-07-20
30810,Lorazepam,12.0Z,708,10.99,01-12-20
35360,Temazepam,1.75L,211,13.99,12-12-20
25955,Budesonide,11.2Z,59,12.99,31-12-20
359475,Loratadine,750ML,72,16.69,04-12-20
13501,Aceclofenac,750ML,287,26.99,01-12-20
87696,Fenoprofen,750ML,76,8.99,12-12-20
84900,Choline,750ML,292,11.49,31-12-20
38962,Paracetamol,1L,264,7.99,04-12-20
66052,Lorazepam,1.5L,311,8.59,19-01-21
313773,Temazepam,750ML,38,23.99,07-03-21
341122,Budesonide,750ML,68,10.99,01-12-20
69174,Loratadine,12.0Z,24,11.99,12-12-20
240551,Aceclofenac,750ML,0,29.99,31-12-20
335369,Fenoprofen,750ML,0,9.79,04-12-20
334380,Choline,750ML,0,13.99,19-01-21
